file_name,timestamp_sec,label
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,0.093,grunt_speech
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,3.344,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,3.889,shoe_squeak
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,4.110,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,4.911,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,5.248,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,5.921,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,6.362,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,6.548,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,6.850,grunt_speech
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,7.082,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,7.407,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,8.464,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,8.789,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,9.706,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,10.321,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,11.401,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,12.190,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,12.817,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,13.595,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,14.663,grunt_speech
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,15.360,grunt_speech
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,16.057,grunt_speech
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,20.108,grunt_speech
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,20.271,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,20.886,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,21.130,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,21.560,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,21.908,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,22.338,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,22.535,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,22.756,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,23.162,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,23.650,grunt_speech
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,23.917,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,24.903,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,25.333,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,25.623,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,26.297,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,26.703,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,27.225,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,27.423,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,29.431,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,29.722,grunt_speech
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,30.174,grunt_speech
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,32.264,grunt_speech
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,38.011,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,38.499,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,38.789,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,38.986,grunt_speech
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,39.369,shoe_squeak
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,40.263,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,40.786,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,41.192,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,41.459,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,41.912,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,42.249,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,42.597,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,42.957,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,43.468,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,43.897,shoe_squeak
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,44.246,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,44.524,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,44.826,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,45.372,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,46.869,grunt_speech
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,48.332,grunt_speech
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,49.157,grunt_speech
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,49.691,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,52.941,grunt_speech
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,53.162,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,53.766,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,54.381,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,55.275,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,55.681,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,55.890,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,56.390,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,56.935,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,57.121,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,57.435,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,57.760,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,58.317,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,59.176,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,59.420,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,59.617,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,60.198,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,60.442,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,60.639,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,60.929,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,61.127,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,61.359,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,61.974,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,62.322,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,62.822,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,63.228,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,63.983,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,64.157,grunt_speech
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,64.505,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,64.888,racket_hit
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,65.666,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,65.863,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,66.026,ambient_noise
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,66.757,ball_bounce
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,68.232,grunt_speech
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,70.798,grunt_speech
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,70.983,grunt_speech
Hailey Baptiste vs Barbora Krejcikova | Round 1 Highlights | Roland-Garros 2026_720p.mp4,71.401,grunt_speech
