file_name,timestamp_sec,label
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,0.104,ambient_noise
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,5.236,racket_hit
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,6.060,racket_hit
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,9.334,ambient_noise
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,9.706,ambient_noise
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,9.973,racket_hit
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,11.204,racket_hit
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,12.132,ambient_noise
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,12.399,ambient_noise
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,18.913,racket_hit
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,20.004,racket_hit
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,20.503,ambient_noise
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,21.269,racket_hit
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,22.802,racket_hit
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,23.533,ambient_noise
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,24.126,racket_hit
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,24.822,ambient_noise
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,32.438,racket_hit
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,33.216,racket_hit
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,36.362,racket_hit
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,37.593,grunt_speech
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,41.297,grunt_speech
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,41.622,grunt_speech
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,41.970,grunt_speech
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,42.133,grunt_speech
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,42.307,grunt_speech
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,42.794,grunt_speech
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,46.289,racket_hit
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,47.195,racket_hit
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,48.274,racket_hit
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,49.575,racket_hit
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,53.174,racket_hit
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,58.073,grunt_speech
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,63.100,racket_hit
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,63.739,racket_hit
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,65.039,racket_hit
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,66.049,ambient_noise
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,66.653,racket_hit
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,67.547,ambient_noise
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,67.849,ambient_noise
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,68.197,racket_hit
The Best of the World No.1! | Aryna Sabalenka at Wimbledon 2025_720p.mp4,72.319,racket_hit
