file_name,timestamp_sec,label
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,0.093,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,3.042,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,3.297,racket_hit
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,3.947,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,4.203,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,4.412,racket_hit
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,5.155,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,5.631,racket_hit
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,6.327,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,6.850,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,7.082,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,7.256,racket_hit
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,7.442,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,8.313,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,8.487,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,8.824,racket_hit
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,9.636,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,10.031,ball_bounce
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,10.658,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,10.809,racket_hit
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,12.121,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,17.160,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,17.392,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,20.143,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,20.584,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,22.802,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,23.232,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,23.626,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,30.685,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,31.022,racket_hit
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,31.521,shoe_squeak
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,31.742,shoe_squeak
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,32.044,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,32.299,racket_hit
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,33.112,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,33.402,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,33.797,racket_hit
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,34.575,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,35.933,racket_hit
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,36.641,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,37.047,shoe_squeak
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,37.256,racket_hit
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,37.570,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,37.976,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,38.499,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,38.708,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,38.870,racket_hit
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,39.578,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,39.741,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,40.229,racket_hit
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,40.612,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,41.308,racket_hit
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,48.797,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,52.547,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,52.791,racket_hit
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,53.313,shoe_squeak
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,53.905,racket_hit
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,54.904,shoe_squeak
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,55.217,racket_hit
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,55.890,ambient_noise
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,56.413,shoe_squeak
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,56.680,racket_hit
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,57.620,racket_hit
Benjamin Bonzi vs Alexander Zverev | Round 1 Highlights | Roland-Garros 2026_720p.mp4,57.864,ambient_noise
