file_name,timestamp_sec,label
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,0.081,grunt_speech
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,0.662,grunt_speech
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,8.464,grunt_speech
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,8.649,grunt_speech
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,14.559,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,15.999,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,16.614,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,17.218,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,18.007,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,18.588,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,19.006,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,19.203,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,19.574,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,19.841,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,20.027,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,20.364,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,20.852,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,21.037,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,21.838,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,22.245,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,22.686,ball_bounce
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,23.208,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,24.462,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,25.728,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,26.099,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,26.703,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,27.353,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,27.539,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,28.085,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,28.456,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,29.408,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,29.756,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,30.314,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,31.254,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,38.406,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,39.021,shoe_squeak
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,39.520,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,40.565,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,40.832,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,41.842,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,42.191,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,42.585,shoe_squeak
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,43.282,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,43.549,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,43.758,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,44.397,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,44.884,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,45.209,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,45.581,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,45.825,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,46.359,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,46.904,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,47.380,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,47.543,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,47.926,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,48.344,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,49.041,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,49.493,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,49.900,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,51.003,shoe_squeak
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,51.548,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,52.198,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,52.779,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,53.174,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,61.997,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,62.543,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,62.856,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,63.205,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,65.387,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,66.003,shoe_squeak
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,66.537,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,66.827,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,67.291,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,79.621,grunt_speech
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,83.371,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,83.685,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,84.672,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,85.682,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,85.867,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,86.285,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,86.471,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,87.203,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,87.528,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,88.189,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,88.456,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,88.770,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,89.281,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,89.908,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,90.349,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,90.883,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,91.498,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,91.696,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,92.230,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,92.462,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,92.810,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,93.321,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,93.553,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,94.052,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,94.296,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,94.540,shoe_squeak
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,94.888,shoe_squeak
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,95.271,shoe_squeak
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,95.620,racket_hit
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,95.840,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,96.177,ambient_noise
Maja Chwalinska vs Mirra Andreeva | Women's Final Highlights by Emirates | Roland-Garros 2026_720p.mp4,96.967,ambient_noise
