file_name,timestamp_sec,label
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,0.093,ambient_noise
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,5.863,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,6.838,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,8.197,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,9.671,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,11.029,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,12.179,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,13.421,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,14.629,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,15.871,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,17.009,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,18.460,grunt_speech
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,18.646,grunt_speech
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,22.047,grunt_speech
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,23.882,ambient_noise
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,24.149,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,24.869,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,26.134,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,27.481,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,28.677,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,29.710,ambient_noise
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,29.872,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,31.138,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,32.473,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,33.936,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,34.923,ambient_noise
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,35.155,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,36.490,grunt_speech
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,36.955,grunt_speech
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,39.335,grunt_speech
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,39.706,grunt_speech
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,40.774,grunt_speech
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,42.562,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,43.305,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,45.000,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,46.080,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,47.566,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,48.181,grunt_speech
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,48.472,grunt_speech
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,49.865,grunt_speech
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,53.418,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,54.161,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,55.565,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,56.552,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,56.738,ambient_noise
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,60.639,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,61.788,grunt_speech
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,61.974,grunt_speech
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,62.276,grunt_speech
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,64.377,grunt_speech
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,65.062,grunt_speech
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,65.225,grunt_speech
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,65.887,grunt_speech
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,67.315,ambient_noise
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,68.940,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,69.625,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,69.857,ambient_noise
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,71.262,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,76.382,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,77.276,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,78.994,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,79.993,ambient_noise
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,80.329,racket_hit
Perfect performance_Aryna Sabalenka v Naomi Osaka_Highlights_Wimbledon 2026_720p.mp4,81.432,racket_hit
