file_name,timestamp_sec,label
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,0.604,grunt_speech
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,0.894,grunt_speech
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,1.289,grunt_speech
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,1.556,grunt_speech
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,1.869,grunt_speech
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,2.485,ambient_noise
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,2.961,grunt_speech
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,3.204,grunt_speech
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,3.587,grunt_speech
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,4.238,grunt_speech
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,6.084,racket_hit
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,6.885,racket_hit
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,8.522,racket_hit
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,9.613,racket_hit
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,32.020,racket_hit
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,32.845,racket_hit
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,34.122,racket_hit
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,35.457,racket_hit
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,36.804,racket_hit
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,37.581,ambient_noise
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,38.058,grunt_speech
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,45.929,grunt_speech
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,46.893,grunt_speech
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,47.972,grunt_speech
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,48.239,grunt_speech
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,48.425,grunt_speech
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,50.387,grunt_speech
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,53.359,ambient_noise
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,53.870,ambient_noise
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,54.416,ambient_noise
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,54.996,ambient_noise
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,55.287,grunt_speech
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,55.740,grunt_speech
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,55.972,grunt_speech
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,56.250,grunt_speech
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,56.645,grunt_speech
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,57.063,grunt_speech
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,57.272,grunt_speech
Incredible 13 MINUTE Game | In Full | Emma Raducanu vs Aryna Sabalenka_Wimbledon_720p.mp4,57.597,grunt_speech
